NEIGHBOURHOOD_158,REPORT_YEAR,REPORT_MONTH,TotalCrimeScore,Crime_Count,x,y,NSI,Prev_Month_NSI,NSI_3M_Avg
0,2017,3,52,16,-8824680.988995628,5435854.754305415,0.8935281837160751,0.8622129436325678,0.8830897703549061
0,2017,4,34,10,-8824633.661765978,5435883.431848327,0.9311064718162839,0.8935281837160751,0.8775226165622825
0,2017,5,31,10,-8823855.222166473,5435551.809690079,0.9373695198329854,0.9311064718162839,0.8956158663883089
0,2017,6,56,17,-8824410.967750652,5435739.773273447,0.8851774530271399,0.9373695198329854,0.9206680584551149
0,2017,7,22,7,-8824480.922894351,5435305.078735141,0.9561586638830898,0.8851774530271399,0.9178844815588031
0,2017,8,30,8,-8824117.21416879,5435273.211888948,0.9394572025052192,0.9561586638830898,0.9262352122477383
0,2017,9,57,16,-8823866.480631545,5435880.179989823,0.8830897703549061,0.9394572025052192,0.9269311064718163
0,2017,10,87,26,-8824475.132517459,5435483.927158724,0.8204592901878914,0.8830897703549061,0.9262352122477383
0,2017,11,82,26,-8824783.928148035,5435872.0855672425,0.8308977035490606,0.8204592901878914,0.8810020876826723
0,2017,12,56,16,-8824291.298886333,5435813.849835846,0.8851774530271399,0.8308977035490606,0.8448155880306194
0,2018,1,68,20,-8824778.121314082,5435713.204903124,0.860125260960334,0.8851774530271399,0.8455114822546973
0,2018,2,75,20,-8824941.898857001,5435426.085245696,0.8455114822546973,0.860125260960334,0.8587334725121781
0,2018,3,67,17,-8824556.67372738,5435682.0595182385,0.8622129436325678,0.8455114822546973,0.8636047320807237
0,2018,4,68,18,-8824511.254033847,5435715.543454542,0.860125260960334,0.8622129436325678,0.8559498956158663
0,2018,5,76,23,-8824303.898123704,5435366.485446522,0.8434237995824635,0.860125260960334,0.8559498956158663
0,2018,6,73,24,-8824312.288329385,5435916.444761525,0.8496868475991649,0.8434237995824635,0.8552540013917884
0,2018,7,52,15,-8824182.56747815,5435836.95149148,0.8935281837160751,0.8496868475991649,0.8510786360473208
0,2018,8,89,27,-8823836.029552035,5435670.616969519,0.8162839248434238,0.8935281837160751,0.862212943632568
0,2018,9,45,13,-8824387.96468503,5435535.735910123,0.9081419624217119,0.8162839248434238,0.8531663187195546
0,2018,10,69,19,-8824728.067181166,5435369.005741758,0.8580375782881002,0.9081419624217119,0.872651356993737
0,2018,11,57,16,-8824306.236403523,5435340.143394796,0.8830897703549061,0.8580375782881002,0.860821155184412
0,2018,12,96,27,-8824175.74730319,5435531.506630881,0.8016701461377871,0.8830897703549061,0.8830897703549061
0,2019,1,41,12,-8824028.732502343,5435910.459398988,0.9164926931106472,0.8016701461377871,0.8475991649269311
0,2019,2,74,23,-8824059.62474116,5435800.293683986,0.8475991649269311,0.9164926931106472,0.8670842032011135
0,2019,3,51,14,-8824284.907074235,5435687.601625687,0.8956158663883089,0.8475991649269311,0.8552540013917884
0,2019,4,120,33,-8824217.866170838,5435777.478910944,0.7515657620041754,0.8956158663883089,0.8865692414752958
0,2019,5,74,19,-8824514.549537027,5435564.614891824,0.8475991649269311,0.7515657620041754,0.8315935977731383
0,2019,6,62,16,-8824277.858504971,5435927.104822691,0.872651356993737,0.8475991649269311,0.8315935977731385
0,2019,7,56,17,-8823780.803311657,5435428.037930743,0.8851774530271399,0.872651356993737,0.823938761308281
0,2019,8,46,13,-8824084.30617922,5435347.114378849,0.906054279749478,0.8851774530271399,0.8684759916492694
